Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m� (obesity),Prevalence of BMI>=30 kg/m� lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m� upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m� (severe obesity),Prevalence of BMI>=35 kg/m� lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m� upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m� (underweight),Prevalence of BMI<18.5 kg/m� lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m� upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m� to <20 kg/m�,Prevalence of BMI 18.5 kg/m� to <20 kg/m� lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m� to <20 kg/m� upper 95% uncertainty interval,Prevalence of BMI 20 kg/m� to <25 kg/m�,Prevalence of BMI 20 kg/m� to <25 kg/m� lower 95% uncertainty interval,Prevalence of BMI 20 kg/m� to <25 kg/m� upper 95% uncertainty interval,Prevalence of BMI 25 kg/m� to <30 kg/m�,Prevalence of BMI 25 kg/m� to <30 kg/m� lower 95% uncertainty interval,Prevalence of BMI 25 kg/m� to <30 kg/m� upper 95% uncertainty interval,Prevalence of BMI 30 kg/m� to <35 kg/m�,Prevalence of BMI 30 kg/m� to <35 kg/m� lower 95% uncertainty interval,Prevalence of BMI 30 kg/m� to <35 kg/m� upper 95% uncertainty interval,Prevalence of BMI 35 kg/m� to <40 kg/m�,Prevalence of BMI 35 kg/m� to <40 kg/m� lower 95% uncertainty interval,Prevalence of BMI 35 kg/m� to <40 kg/m� upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m�(morbid obesity),Prevalence of BMI >=40 kg/m� lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m� upper 95% uncertainty interval
East and South East Asia,NA,Men,1999,22.1735342125588,21.9995422696447,22.3446827183146,0.0171438167280599,0.0135193428234392,0.0213330282862582,0.000651111655762979,0.000454952660554459,0.000900837771018929,0.100800788262793,0.0875005004394759,0.115423153342915,0.153545411641852,0.135504331628224,0.17235974030623,0.556180102816033,0.531109771524875,0.58086922767363,0.172329880651262,0.152708782599484,0.191700918692923,0.0164927050722969,0.0128734252135265,0.0206323370965925,0.000580770980865221,0.000389392377791175,0.000828593149185545,7.03406748977575e-05,3.79831311670451e-05,0.000115364356615455
East and South East Asia,NA,Men,2000,22.2409905114825,22.065785421266,22.4137948566018,0.0185151811845711,0.0146398692099966,0.0229850162790066,0.000748743980096331,0.000530288580409113,0.0010251057270079,0.0987381002572593,0.0858080888660754,0.112881755995564,0.150456254837959,0.132785769090724,0.16889950146174,0.554805487784338,0.530110584344321,0.57953833941331,0.177484976035873,0.157762378140511,0.197189920889338,0.0177664372044748,0.0139510620181401,0.0222113609317642,0.000665406497122223,0.000450968586501218,0.000941644080636027,8.3337482974108e-05,4.60055992363481e-05,0.000134690501531633
East and South East Asia,NA,Men,2001,22.3115360767835,22.1408741190472,22.4822819579018,0.0199954015473733,0.0159484765921528,0.0247778871604755,0.000861163170639726,0.000613973217338136,0.00117088465856503,0.096562303903278,0.083981324542519,0.110465250114212,0.147300143656436,0.129875854550515,0.165531906449596,0.553330988836148,0.528881794918685,0.577933591229511,0.182811162156764,0.162875617729543,0.202585698449752,0.0191342383767335,0.0151244989469188,0.0238683085590364,0.000762221161616555,0.000520774132261836,0.00106924605009231,9.8942009023171e-05,5.62353772487483e-05,0.000157727325588401
East and South East Asia,NA,Men,2002,22.3864368160493,22.2171808403245,22.5556894359032,0.0215915528425622,0.0172348978531977,0.0267229815116988,0.000990620251773203,0.000715494009003751,0.00134155324724891,0.0942964026725684,0.0819761981122211,0.108027905121995,0.144089341241166,0.127055056750324,0.162194804250921,0.551729659452558,0.527144021440793,0.576352215968094,0.188293043891144,0.167995468900704,0.208089313874997,0.020600932590789,0.016313063327411,0.0256984453564463,0.000872820982997594,0.000601978271726934,0.00122430993577968,0.000117799268775609,6.84322345519684e-05,0.000184753064450213
East and South East Asia,NA,Men,2003,22.4663010004893,22.2985896536237,22.6365601811993,0.0233069340219801,0.0186528511490705,0.028805905442315,0.0011395502916395,0.000824179835702264,0.00153931703626264,0.091945934593726,0.0799681429484147,0.10528130871704,0.14083567513039,0.123975187898778,0.15892562000609,0.549977284559747,0.525216421532295,0.574868632762116,0.193934171794157,0.173454518770282,0.214341345768589,0.0221673837303406,0.0175949742139,0.0276943063838347,0.000998924357543493,0.000693520982749757,0.00139499203247129,0.000140625934096005,8.35100242405099e-05,0.00021766264742746
East and South East Asia,NA,Men,2004,22.5509289886685,22.3840076364067,22.7165882258706,0.025147751928532,0.0201850085780665,0.0311075332707699,0.0013109574330549,0.000954148118068945,0.00176189813431714,0.0895108376286551,0.0778258265345854,0.102580637111623,0.137548581871824,0.120825044469356,0.15529559691198,0.548096540776322,0.523144605522026,0.573521464329887,0.199696287894667,0.178806475256943,0.2208711621772,0.0238367944954771,0.0188868496039546,0.0297392589888571,0.00114265874931462,0.000797192985559838,0.00158755673032467,0.000168298683740276,0.000101476712639117,0.000257829583359165
East and South East Asia,NA,Men,2005,22.6409479674494,22.4779231187706,22.8019009865005,0.0271191209844111,0.0217836036479123,0.0335886674180259,0.00150712319320543,0.00109743413219334,0.00202637865663809,0.0870005908320056,0.075473371962291,0.100054967398361,0.134237869496354,0.117584581892068,0.151875643661157,0.546064208280413,0.520838089296208,0.571569039147719,0.205578210506817,0.184132576023176,0.226951621377829,0.0256119977912057,0.0203042337457232,0.0320700861111997,0.00130531989589043,0.000910611630624452,0.00180831374977202,0.000201803297315,0.000124522168203846,0.000308876734707889
East and South East Asia,NA,Men,2006,22.7369355600303,22.5728755336427,22.8938309105828,0.0292277557324826,0.0234455127448358,0.0361981801333328,0.00173169101581673,0.00125661104378392,0.00233145823551079,0.0844176161415539,0.0730008104810445,0.0975016133026433,0.130885950513059,0.113989029328847,0.148714070423422,0.543898634282588,0.518019596131883,0.56982604114152,0.211570043430316,0.189324052395463,0.233605786374099,0.0274960647166658,0.0217497971916858,0.0343876548279098,0.00148918508730643,0.00103815780015568,0.00206775732961158,0.000242505928510302,0.000149512082141352,0.000369536796080593
East and South East Asia,NA,Men,2007,22.837692167033,22.6728962798841,22.9967654951022,0.0314772476954635,0.0251644169211145,0.039028592840159,0.00198891639117527,0.00143809247429032,0.00269944842180802,0.0817901916086645,0.0703481163064002,0.0947544731480044,0.127515191383214,0.11051409939264,0.145837579847289,0.541566075843294,0.515305834822885,0.568574651757379,0.217651293569364,0.194470891467386,0.240714258654611,0.0294883313042883,0.0232474126195949,0.0369009157377833,0.00169685121068713,0.0011755809318722,0.00238493217698442,0.000292065180488142,0.000179967365558149,0.000448315637881035
East and South East Asia,NA,Men,2008,22.9415672418164,22.7794305501623,23.1031851280129,0.033872884609202,0.0269777464665219,0.0419864183025753,0.00228307752134171,0.00164011209269101,0.00311997565285299,0.0791740528365503,0.0675497789273877,0.0921579288684831,0.124155865548251,0.107145513533859,0.142717478241328,0.539019401153833,0.511520021294395,0.566599407183488,0.223777795952164,0.199532632632163,0.24814373760487,0.0315898070878603,0.024816671341791,0.0397070586559488,0.00193072281441309,0.0013199856742529,0.00273948610659868,0.000352354706928615,0.000214628325274818,0.000543752205745861
East and South East Asia,NA,Men,2009,23.0492835210721,22.8862920593678,23.2120726485853,0.0364211983419506,0.02891548739581,0.0454361835192177,0.00261944462232528,0.00187328576756828,0.00361524970731009,0.0766006905178989,0.0647866461948315,0.0897210870847365,0.120813801521355,0.103668631505445,0.139718270142951,0.536248764966491,0.507218591374145,0.565232326989266,0.229915544752304,0.204171637732261,0.255965126879087,0.0338017537196253,0.0264019960112694,0.0427946070026149,0.00219367732405164,0.00148722508924602,0.00315268368701541,0.00042576729827364,0.000255013746458955,0.000668981763362638
East and South East Asia,NA,Men,2010,23.1602623137506,22.9872462685857,23.332613754449,0.0391239003742959,0.0308324344597623,0.0492717544736035,0.00300325313519044,0.00211862911265436,0.00421164709934097,0.0740865523054528,0.0620197516405593,0.0875865725662408,0.117503159071244,0.100087909454443,0.137085104429647,0.533245454034005,0.502581841204603,0.563533667649233,0.236040934315002,0.208771961144263,0.264163871037725,0.0361206472391055,0.0279908011891541,0.0460361099690112,0.00248854879407493,0.00165552300544548,0.00362705290035501,0.000514704341115513,0.00029948608545907,0.000832029533209318
East and South East Asia,NA,Men,2011,23.2758809856347,23.0862166609661,23.4632788258463,0.041975752483753,0.0327501218203043,0.0533212009962989,0.00343985408000113,0.00239811667118742,0.00488187107439331,0.071642918358665,0.0591204233430402,0.0857145095627621,0.114244657064433,0.0963618306409911,0.134799734203705,0.530024885043491,0.496964829000539,0.562089590258641,0.242111787149658,0.212888183437601,0.272528777855612,0.0385358984037519,0.029414179602418,0.0496734736809701,0.00281758504420408,0.00183447718886531,0.00420533895413572,0.000622269035797056,0.000351077128500592,0.00103515886443663
East and South East Asia,NA,Men,2012,23.3959383692029,23.1785820333572,23.6077434138087,0.0449875616395593,0.0345569454637539,0.0576316357228972,0.00393684583051324,0.0026935211114363,0.0056869163852639,0.0692915105138511,0.0564059438602386,0.0840911444447256,0.111042130369464,0.0924982260065659,0.132542926471786,0.526568964115995,0.490824872698021,0.560971396545007,0.24810983346113,0.216182893043938,0.281184756819048,0.0410507158090461,0.0308221651395909,0.0534528897784757,0.0031847047619593,0.00202236674961339,0.00486893848149657,0.000752141068553939,0.000405714336047782,0.00131150419131763
East and South East Asia,NA,Men,2013,23.520163848625,23.2671731090486,23.7690621222031,0.0481694329612132,0.0365688679451239,0.0621870399260138,0.00450294798378924,0.00300404256197174,0.00663108875475324,0.0670357272875738,0.0536547500208253,0.0825265040964253,0.107907928350284,0.0885155041157526,0.130480301782702,0.522868787964534,0.484571976338848,0.560139766211902,0.254018123536395,0.219414770643357,0.289866250693905,0.043666484977424,0.0321991569326865,0.0575892216645698,0.00359400575238547,0.00222257738896163,0.00558141051134482,0.000908942231403778,0.000460509809908415,0.00165270431303884
East and South East Asia,NA,Men,2014,23.6480038227549,23.3495226672104,23.9379455494756,0.0515329755669946,0.0384984706942803,0.067387409228122,0.0051483019214594,0.00335937392444877,0.00776090977709982,0.0648679887031137,0.0510006774283934,0.0810037923482329,0.104839761136679,0.0845120884460205,0.128393175299505,0.518943252728822,0.478015920079842,0.559387131430672,0.259816021964391,0.22287034645757,0.298716306279719,0.0463846736455352,0.0336124892138635,0.0619982423569106,0.00404951246420697,0.00243058235228873,0.00648197841893039,0.00109878945725243,0.000524079478244595,0.00211721171547361
East and South East Asia,NA,Men,2015,23.7789474723574,23.4266510875138,24.1238893563541,0.0550900459802975,0.0404386558936027,0.0729045120519687,0.00588372727555174,0.00374104530883398,0.00908760685492774,0.0627713293563232,0.0483582542217099,0.0795659368963928,0.101833249807865,0.080809432366067,0.126539018998207,0.514784807865584,0.470767253068663,0.557825192824086,0.26552056708993,0.225839981477546,0.307590056901655,0.0492063187047457,0.0349769442151072,0.0668398357939952,0.00455548525063773,0.0026483435926701,0.00747578599741183,0.00132824202491401,0.000593107762872592,0.00273456794588619
East and South East Asia,NA,Men,2016,23.910345259288,23.4892200215447,24.3177591204746,0.0588192060745092,0.0423615382833822,0.0788207015438246,0.0067179617204887,0.00414840098495926,0.010750986431561,0.0607485214052582,0.0457712543373249,0.0782278599588477,0.0989159432664496,0.077119432819827,0.124780417686548,0.510445851225421,0.462990048051409,0.556429417603951,0.271070478128362,0.228101889084,0.316572479060781,0.0521012443540205,0.0362318366056127,0.0720134691174549,0.0051134839001559,0.00285798310819442,0.00865998221835283,0.00160447782033281,0.000666944009818637,0.00349888892973109
High-income Asia Pacific,NA,Men,1975,21.7896327060609,21.3770628339372,22.2078726008407,0.00587390878763736,0.00335495280797186,0.00938049178351186,4.57278966227743e-05,1.36666929668626e-05,0.000109057333201291,0.0860100464271091,0.0602178525627733,0.115307457811772,0.168183886215428,0.13138654780058,0.20871221192974,0.602042224557362,0.552309650006104,0.647577702115,0.137889934112464,0.106310729919384,0.172153803386388,0.00582818089101459,0.00332305584489247,0.00933592364624681,4.50642062428994e-05,1.31290716487319e-05,0.000108128696828897,6.63690379874935e-07,6.06657685291349e-08,2.6002667546246e-06
High-income Asia Pacific,NA,Men,1976,21.8549647694027,21.4835136011931,22.2287910328365,0.00622191857435051,0.00371128989534052,0.00967313845328508,5.13785356869031e-05,1.66692672805812e-05,0.000116958661621934,0.0841482034495484,0.0601929432098809,0.111095142560895,0.165011688529032,0.130187972861148,0.203073193343016,0.603082676097471,0.555985611019996,0.646192860163203,0.141535513449597,0.111088589545082,0.174124485968408,0.00617054003866361,0.00367203753576469,0.00961195084710516,5.06369105875238e-05,1.59372328018307e-05,0.000116383547214901,7.41625099379288e-07,7.68836173394063e-08,2.74366494399922e-06
High-income Asia Pacific,NA,Men,1977,21.9164947816795,21.5773575800394,22.2560671737018,0.00657030341661812,0.00405714332065852,0.00990581473323042,5.75025356098246e-05,1.98136966512409e-05,0.000125660650446533,0.0823510063492388,0.0601928365420948,0.107159370910814,0.161948727311382,0.129432792429264,0.197330707709006,0.604032998700056,0.560009362241051,0.645180450832538,0.145096964322705,0.115684715907823,0.176622777765993,0.00651280088100829,0.00400700295615523,0.00986408351755783,5.66705310919804e-05,1.91781954194886e-05,0.000124262213733982,8.32004517844173e-07,9.93834702879497e-08,2.93106583594106e-06
High-income Asia Pacific,NA,Men,1978,21.9755499807998,21.6712035933697,22.2847723179248,0.00692100344265557,0.00438195822381376,0.0102480503955725,6.41743626731724e-05,2.37798908960655e-05,0.000135048672715402,0.0806148085509888,0.059816971606969,0.103625335444079,0.15899021418587,0.128468712535478,0.192277513020177,0.604894575618108,0.563559874334123,0.643662144505372,0.148579398302378,0.120626918833779,0.178927188295025,0.00685682907998239,0.00432586781944293,0.0101843258508391,6.32367513944422e-05,2.28387500748744e-05,0.00013418585304837,9.37611278730203e-07,1.24201656021216e-07,3.14536720267802e-06
High-income Asia Pacific,NA,Men,1979,22.0323572871916,21.7477531572775,22.3168740075755,0.0072778440316055,0.00473435001063871,0.0105129364245535,7.15000826176871e-05,2.79846825491381e-05,0.000144636386279856,0.0789312846313538,0.0594779185991187,0.100116200529525,0.156115107161087,0.127278401216642,0.187253111846469,0.605665572583029,0.566960938589074,0.642197217821023,0.152010191692924,0.124972996788914,0.181130269635391,0.00720634394898781,0.00467500720443385,0.0104360032077482,7.04385601435891e-05,2.67930944899902e-05,0.000143786190012829,1.06152247409801e-06,1.58907035290525e-07,3.37948554353727e-06
High-income Asia Pacific,NA,Men,1980,22.0874163782547,21.8234025201911,22.3566519944795,0.00764378808839354,0.00508631936506936,0.0108616073036917,7.95990473641246e-05,3.26197904236612e-05,0.000154596069055888,0.0772977085778134,0.0590073903559127,0.0969575670372862,0.15330500374078,0.12593726407225,0.182711828717431,0.606349114830993,0.569626228720765,0.641380907974714,0.15540438486202,0.129498614768004,0.183462708045853,0.00756418904102942,0.00501683732239848,0.0107720056031403,7.83911205151427e-05,3.14759024786964e-05,0.000153219010263981,1.20792684898198e-06,2.03961037618489e-07,3.6878025621022e-06
High-income Asia Pacific,NA,Men,1981,22.1419234957251,21.8955776399928,22.3930082862398,0.00802198537678135,0.0054625202912182,0.0112318807146313,8.85726460520289e-05,3.80728602539346e-05,0.000167712529357904,0.0757053635373393,0.058549721599387,0.0940558961586331,0.150560304036201,0.12496686001944,0.178499437733099,0.606931935873944,0.571439426774297,0.64079833128355,0.158780411275735,0.133626339204791,0.185646017619165,0.00793341273072932,0.00536775007180069,0.0111355472394937,8.71918274567824e-05,3.67195797274521e-05,0.000166733496330399,1.38081859524646e-06,2.59760580304689e-07,4.13550585703593e-06
High-income Asia Pacific,NA,Men,1982,22.1955643047501,21.9614265501538,22.4332447455811,0.00841555686312278,0.00582112128106253,0.0115777679430096,9.85509214217419e-05,4.45760565315334e-05,0.000184334076617309,0.0741582125021896,0.0579858012769163,0.091380937900704,0.147852566496317,0.123480954301249,0.17470962506434,0.607417695254685,0.572877958950056,0.640295566270964,0.162155968983686,0.137855139584523,0.188393921199967,0.00831700594170104,0.00572282930857512,0.0114823046725865,9.6966911462039e-05,4.29853715570151e-05,0.00018275317267977,1.58400995970281e-06,3.23639958807909e-07,4.45749628346707e-06
High-income Asia Pacific,NA,Men,1983,22.2488672404726,22.0183727656089,22.4774930668197,0.00882789937278832,0.00619972028147755,0.0120381606839998,0.000109709435990879,5.21137790652257e-05,0.00019996110787663,0.0726469039497141,0.0574684563245757,0.088835082752558,0.145186211981286,0.122262138084855,0.171049065381174,0.607795881811242,0.57455599009574,0.63918128513961,0.165543102984969,0.141924676747079,0.190870872978752,0.00871818993679744,0.00609634684758767,0.0119149664385743,0.000107885512941253,5.02573389956989e-05,0.000198555177500343,1.82392304962663e-06,3.99427317329279e-07,4.90034199138509e-06
High-income Asia Pacific,NA,Men,1984,22.3024972102664,22.0771338297294,22.5218421328504,0.00926236158482494,0.00657704542342355,0.0124664030000702,0.000122222649760688,6.02475122097549e-05,0.000217794140346732,0.0711713887703595,0.0567668693676581,0.086546985799471,0.142550167309254,0.12040135536701,0.166867948089081,0.608051243169007,0.576423471540514,0.638783279936425,0.168964839266555,0.145853831721408,0.193198115535435,0.00914013893506425,0.00646589106850176,0.0123531144565646,0.000120115155115277,5.78894278198546e-05,0.000216390079434437,2.10749464541072e-06,4.91497869548702e-07,5.46833664849788e-06
High-income Asia Pacific,NA,Men,1985,22.3568935461248,22.1407348771871,22.5675231617602,0.00972168879974362,0.00695426517556218,0.0129827473291983,0.00013629584459794,6.90862766357998e-05,0.000239657573959257,0.0697133462695804,0.0560086971262977,0.0842750710334902,0.139938795337456,0.118699780928982,0.16301071086802,0.608202592700225,0.577709877844231,0.637828064688771,0.172423576992995,0.149838097840974,0.19623783698961,0.00958539295514568,0.00680143976356077,0.0128558971986539,0.000133851902741651,6.64119003326466e-05,0.000237739072637909,2.44394185628851e-06,6.05948730850772e-07,6.16417106632939e-06
High-income Asia Pacific,NA,Men,1986,22.4129013966238,22.2070691190506,22.6159778967753,0.0102121933320235,0.00735691883798711,0.0135648272261975,0.000152226152441418,7.92565024565994e-05,0.000264804056814777,0.0682707851613154,0.0553860228748394,0.0822388531247641,0.137335885280374,0.117192404746108,0.159143283359905,0.60822858418691,0.578547744210147,0.637152247777241,0.175952552139377,0.153538891488821,0.199241547342643,0.0100599671795821,0.00720329294972332,0.0134064610881541,0.000149381075483925,7.61603169558178e-05,0.000261993002645341,2.84507695749314e-06,7.43025053002547e-07,7.01236575848267e-06
High-income Asia Pacific,NA,Men,1987,22.4705681445312,22.2728858760586,22.6687644041967,0.0107388255251881,0.00782808215290486,0.0141653276466133,0.000170248885703353,9.03722876682459e-05,0.000290459913582832,0.0668437904522209,0.0546297025636731,0.0803931967317632,0.134730719424243,0.115040842855276,0.155792688458109,0.608143140538091,0.579283724523835,0.63620978005662,0.179543524160257,0.157266490257604,0.202296167367027,0.0105685766394848,0.00766102073669561,0.0140068840901869,0.000166925161604714,8.7262659129193e-05,0.000287789788291801,3.32372409863822e-06,9.28165304060632e-07,7.97883983702651e-06
High-income Asia Pacific,NA,Men,1988,22.5298213893861,22.3415655964875,22.7217740130293,0.0113039261790041,0.0083138190529526,0.0148194373895399,0.000190625529910154,0.000103502724988605,0.000320569458007807,0.065417791903149,0.0535482084859414,0.0785648384222231,0.13212276717598,0.113304726466747,0.152693874921955,0.607937432097307,0.580034650735075,0.635470487907787,0.18321808274456,0.161290532663396,0.205504255103983,0.0111133006490939,0.00811208887611602,0.0146691604304203,0.000186727809144424,9.98281088508348e-05,0.000317392223293902,3.89772076573022e-06,1.14589696445826e-06,9.18560671959473e-06
